2021-06-04T16:17:48.093Z [AUDIT] Token created by 'anonymous': tokenId='8a2a63c1-baa1-4b46-91c7-f40417140db3', issuer='jfrou@01f7bx1pe9qecxd1dj698wp1v5', subject='jfrou@01f7bx1pe9qecxd1dj698wp1v5', expiry=none, refreshable=false
2021-06-04T16:17:50.703Z [AUDIT] Token created by 'anonymous': tokenId='db671172-2f1e-4594-99d4-f42fb7213e2c', issuer='jfac@01f7bx19j4gse11x6zk7h10p62', subject='jfac@01f7bx19j4gse11x6zk7h10p62', expiry=1622823590680, refreshable=false
2021-06-04T16:17:51.112Z [AUDIT] Token created by 'anonymous': tokenId='5304e8b3-9404-4585-b0e7-d5345ec330ce', issuer='jfmd@01f7bx1qtktj5dgrd7t445jeh2', subject='jfmd@01f7bx1qtktj5dgrd7t445jeh2', expiry=none, refreshable=false
2021-06-04T16:17:51.694Z [AUDIT] Token created by 'anonymous': tokenId='f7f71bd7-5105-404c-b76b-2111942f4f3c', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=none, refreshable=false
2021-06-04T16:17:51.887Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='5bfa27c6-f2d8-4e82-8ab9-3c4d9d764b0c', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909871866, refreshable=true
2021-06-04T16:17:51.891Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='0ff115b2-a036-4dd6-9e58-0567de1c28c6', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909871870, refreshable=true
2021-06-04T16:17:51.912Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='3d367cc0-bcac-4ef4-b9ff-7c9ccde8468e', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909871873, refreshable=true
2021-06-04T16:17:51.917Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='1900c956-9d80-4de0-b2ba-5ba58ee0ba0c', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909871866, refreshable=true
2021-06-04T16:19:20.114Z [AUDIT] Token created by 'anonymous': tokenId='cdb8bdaa-9b1e-4ff5-bb24-1ad0c29a711e', issuer='jfrou@01f7bx1pe9qecxd1dj698wp1v5', subject='jfrou@01f7bx1pe9qecxd1dj698wp1v5', expiry=none, refreshable=false
2021-06-04T16:19:26.746Z [AUDIT] Token created by 'anonymous': tokenId='b6cda8dd-94c7-4f68-89b8-6fc127a5e008', issuer='jfac@01f7bx19j4gse11x6zk7h10p62', subject='jfac@01f7bx19j4gse11x6zk7h10p62', expiry=1622823686722, refreshable=false
2021-06-04T16:19:27.203Z [AUDIT] Token created by 'anonymous': tokenId='0e5d5de6-3798-47a9-a825-b6675ab28d71', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=none, refreshable=false
