2021-07-07T14:52:14.056Z [jfrt ] [INFO ] [a969553d2cf3af0f] [adsFolderCleanupServiceImpl:52] [art-exec-10         ] - Starting docker temp folder cleanup
2021-07-07T14:52:14.058Z [jfrt ] [INFO ] [a969553d2cf3af0f] [adsFolderCleanupServiceImpl:54] [art-exec-10         ] - Docker temp folder cleanup finished, time took: 2 millis
2021-07-07T16:00:00.001Z [jfrt ] [INFO ] [c21feae81c4fa9a4] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-10         ] - Triggering Garbage Collection
2021-07-07T16:00:00.002Z [jfrt ] [INFO ] [c21feae81c4fa9a4] [.s.d.b.s.g.GarbageCollector:66] [art-exec-10         ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-07-07T16:00:00.002Z [jfrt ] [INFO ] [c21feae81c4fa9a4] [.s.d.b.s.g.GarbageCollector:68] [art-exec-10         ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-07-07T19:23:06.494Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1625496732829] - publishing full invalidation and attempting to resubscribe to affected configuration changes
2021-07-07T19:23:06.497Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1625496734197] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-07-07T19:23:06.522Z [jfrt ] [WARN ] [                ] [c.z.h.p.HikariPool:787        ] [iCP Main housekeeper] - HikariCP Main - Thread starvation or clock leap detected (housekeeper delta=59s144ms16µs622ns).
2021-07-07T19:23:08.605Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-158] - refreshing affected platform config stream - target server is unavailable
2021-07-07T19:23:08.605Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-155] - refreshing affected permissions stream - target server is unavailable
2021-07-07T19:23:08.605Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-156] - refreshing affected permissions stream - target server is unavailable
2021-07-07T19:23:08.607Z [jfrt ] [WARN ] [                ] [.j.a.c.g.GrpcStreamObserver:88] [default-executor-157] - refreshing affected platform config stream - target server is unavailable
2021-07-07T19:23:08.683Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1625496734197] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-07-07T19:23:08.687Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1625496732829] - publishing full invalidation and attempting to resubscribe to affected configuration changes
2021-07-07T20:00:00.001Z [jfrt ] [INFO ] [fb914f4b91dbadb2] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-6          ] - Triggering Garbage Collection
2021-07-07T20:00:00.002Z [jfrt ] [INFO ] [fb914f4b91dbadb2] [.s.d.b.s.g.GarbageCollector:66] [art-exec-6          ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-07-07T20:00:00.362Z [jfrt ] [INFO ] [fb914f4b91dbadb2] [.s.b.s.GarbageCollectorInfo:96] [art-exec-6          ] - Storage garbage collector report:
Total execution time:    297 millis
Candidates for deletion: 2
Checksums deleted:       1
Binaries deleted:        1
Total size freed:        26.08 MB
2021-07-07T20:00:00.403Z [jfrt ] [INFO ] [fb914f4b91dbadb2] [.s.d.b.s.g.GarbageCollector:68] [art-exec-6          ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-07-08T06:04:29.025Z [jfrt ] [INFO ] [                ] [ffectedConfigStreamObserver:32] [Stream_1625496732829] - publishing full invalidation and attempting to resubscribe to affected configuration changes
2021-07-08T06:04:29.029Z [jfrt ] [INFO ] [                ] [ectedEntitiesStreamObserver:35] [Stream_1625496734197] - publishing full invalidation and attempting to resubscribe to affected permissions changes
2021-07-08T06:04:29.053Z [jfrt ] [WARN ] [                ] [c.z.h.p.HikariPool:787        ] [iCP Main housekeeper] - HikariCP Main - Thread starvation or clock leap detected (housekeeper delta=51s579ms173µs416ns).
2021-07-08T06:04:29.174Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:709] [art-exec-4          ] - Beginning full system export...
2021-07-08T06:04:29.176Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:736] [art-exec-4          ] - Creating temp export directory: /opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current
2021-07-08T06:04:29.178Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:743] [art-exec-4          ] - Using backup directory: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current'.
2021-07-08T06:04:29.277Z [jfrt ] [INFO ] [869dbc409a684ff0] [c.CentralConfigServiceImpl:675] [art-exec-4          ] - Exporting config...
2021-07-08T06:04:29.195Z [jfrt ] [INFO ] [95abc3ca00ded54a] [.s.d.b.s.BinaryServiceImpl:670] [art-exec-3          ] - Triggering Garbage Collection
2021-07-08T06:04:29.231Z [jfrt ] [INFO ] [f36ec91184273b87] [ualCacheCleanupServiceImpl:119] [art-exec-1          ] - Starting cleanup of virtual repositories cache
2021-07-08T06:04:29.385Z [jfrt ] [INFO ] [f36ec91184273b87] [ualCacheCleanupServiceImpl:127] [art-exec-1          ] - Completed virtual repositories cleanup: removed 0 cached files.
2021-07-08T06:04:29.228Z [jfrt ] [INFO ] [bfa1f77c61d9fdcb] [tegrationCleanupServiceImpl:44] [art-exec-7          ] - cleaning jobs table
2021-07-08T06:04:29.384Z [jfrt ] [INFO ] [95abc3ca00ded54a] [.s.d.b.s.g.GarbageCollector:66] [art-exec-3          ] - Starting GC strategy 'TRASH_AND_BINARIES'
2021-07-08T06:04:29.393Z [jfrt ] [INFO ] [95abc3ca00ded54a] [.s.d.b.s.g.GarbageCollector:68] [art-exec-3          ] - Finished GC Strategy 'TRASH_AND_BINARIES'
2021-07-08T06:04:29.401Z [jfrt ] [INFO ] [bfa1f77c61d9fdcb] [tegrationCleanupServiceImpl:48] [art-exec-7          ] - cleaned up 0 old job records
2021-07-08T06:04:29.955Z [jfrt ] [INFO ] [869dbc409a684ff0] [o.a.s.a.AccessServiceImpl:1432] [art-exec-4          ] - Exporting serviceId to file
2021-07-08T06:04:29.956Z [jfrt ] [INFO ] [869dbc409a684ff0] [o.a.s.a.AccessServiceImpl:1414] [art-exec-4          ] - Triggering export in access server...
2021-07-08T06:04:30.465Z [jfrt ] [INFO ] [869dbc409a684ff0] [ifactoryApplicationContext:937] [art-exec-4          ] - Note: the etc exported folder has excessive permissions. Be careful with the files.
2021-07-08T06:04:30.469Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.s.u.SignedUrlServiceImpl:295] [art-exec-4          ] - Exporting URL signing key...
2021-07-08T06:04:30.483Z [jfrt ] [INFO ] [869dbc409a684ff0] [r.s.RepositoryServiceImpl:1084] [art-exec-4          ] - Exporting repositories...
2021-07-08T06:04:30.487Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - artifactory-build-info export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/artifactory-build-info'
2021-07-08T06:04:30.496Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - artifactory-build-info export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 12.28 millis IPS: 81.42 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/artifactory-build-info'
2021-07-08T06:04:30.497Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - docker export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/docker'
2021-07-08T06:04:30.506Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:90] [art-exec-4          ] - docker export finished with: 1 Items exported (0 files and 1 folders), 0 Item skipped: (0 files and 0 folders).Duration: 8.08 millis IPS: 123.7 Target: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/docker'
2021-07-08T06:04:30.508Z [jfrt ] [INFO ] [869dbc409a684ff0] [a.r.d.i.DbRepoExportHandler:80] [art-exec-4          ] - example-repo-local export started with 1 nodes to: '/opt/jfrog/artifactory/var/backup/artifactory/backup-daily/current/repositories/example-repo-local'
